143,144,20,19
23,21,20,24
21,20,1,5
1,3,1,0
1,0,2,1
0,2,0,1
0,1,0,3
0,1,2,0
1,2,0,4
0,2,3,1
0,3,2,3
1,0,2,1
0,1,0,1
0,5,1,2
0,1,4,2
1,0,3,1
0,2,0,7
3,0,4,0
2,0,2,1
0,2,1,0
1,7,1,0
1,2,0,2
3,0,2,0
3,2,0,1
2,0,3,1
0,2,1,0
1,0,2,0
1,0,4,0
1,0,1,2
1,2,0,1
7,1,2,1
2,1,0,2
0,4,0,2
0,2,0,2
3,2,0,2
0,1,85,133
126,112,114,113
112,186,187,84
89,84,180,25
194,189,53,54
53,55,56,53
188,185,26,28
26,29,23,26
23,43,39,148
149,148,13,16
14,13,15,13
158,161,159,113
119,117,42,44
42,83,86,27
94,93,94,95
96,99,93,114
117,119,115,114
176,143,142,144
173,149,68,66
68,66,67,1
173,159,19,189
14,16,18,15
126,69,75,71
69,76,69,71
73,74,72,71
116,115,73,72
75,73,160,128
129,127,129,128
195,126,195,29
28,31,29,142
146,145,150,145
94,156,151,150
152,154,150,1
0,2,0,2
5,95,102,97
98,99,102,100
97,98,1,0
2,3,1,166
167,166,72,127
166,99,176,193
160,163,161,160
75,162,54,52
55,74,76,81
74,18,17,18
19,17,16,28
30,32,31,32
33,31,76,192
52,56,52,63
58,60,37,39
37,41,43,38
37,168,167,56
59,60,57,59
63,57,58,60
77,79,78,79
77,78,79,1
194,193,185,133
98,192,152,151
152,6,9,12
6,8,9,10
11,8,6,8
95,58,194,129
130,132,130,131
130,115,179,178
177,161,167,171
169,170,171,100
103,106,100,66
170,169,32,145
147,142,117,116
118,116,119,188
44,50,49,45
44,43,148,146
187,177,186,136
135,139,137,45
47,45,50,46
47,46,24,22
25,27,24,147
77,82,80,78
190,162,178,181
182,178,103,101
104,103,102,183
170,173,191,17
120,9,12,10
12,154,153,104
101,104,157,153
151,163,165,135
182,137,146,140
137,138,140,46
49,51,47,153
179,181,179,183
184,163,164,57
64,63,184,180
140,139,141,138
11,15,14,11
10,108,105,106
101,107,109,105
107,105,156,154
131,132,131,21
25,22,27,22
134,132,136,135
136,134,133,134
106,168,81,80
82,81,30,34
30,159,155,157
155,156,169,164
190,83,184,118
122,118,124,122
108,112,109,108
107,185,34,33
34,86,89,90
86,195,59,61
65,61,64,62
64,168,89,87
88,90,88,87
88,92,87,171
172,175,174,172
174,141,143,141
149,147,33,157
172,186,109,121
120,121,61,62
65,68,62,38
40,39,38,41
40,144,139,50
48,51,1,0
7,3,0,3
0,1,70,67
70,67,189,121
125,123,120,123
124,122,191,155
165,70,110,111
113,110,111,110
192,41,158,162
164,158,111,90
92,96,91,92
91,93,96,97
91,187,82,84
85,83,85,80
175,176,177,175
180,181,183,182
174,51,48,49
55,54,48,138
123,65,35,40
36,35,36,35
42,36,193,165
124,188,125,128
127,125,191,190
719
