55,49,46,50,47,49
46,48,14,18,17,13
41,44,39,41,39,40
42,40,39,56,54,55
54,57,54,60,17,15
18,17,15,16,18,16
17,16,19,21,15,16
17,44,42,43,41,40
41,42,41,44,42,40
56,55,5,6,5,4
5,4,5,8,6,5
8,6,4,5,11,4
1,0,3,1,4,0
1,0,2,0,2,0
3,1,3,1,2,0
1,2,1,0,1,3
0,1,2,3,1,0
3,0,1,2,0,6
1,2,56,51,53,18
21,19,18,19,21,19
18,22,15,23,15,6
9,7,6,8,7,10
8,7,4,57,52,53
7,10,9,7,8,7
8,55,57,55,57,60
42,50,54,49,50,56
50,44,45,44,43,46
44,59,49,52,29,30
31,29,56,57,59,52
54,52,30,33,32,35
31,21,20,23,21,46
48,43,31,35,32,31
32,33,31,32,34,33
35,36,37,33,35,33
23,20,22,27,23,24
25,20,24,20,23,22
20,19,25,24,23,19
51,54,53,52,47,48
47,60,58,60,58,48
50,49,22,27,22,25
22,20,34,33,43,45
47,43,45,48,45,43
59,45,49,50,45,34
37,36,38,36,37,34
36,35,34,35,58,59
58,60,58,59,16,24
26,27,24,25,27,29
24,53,51,53,56,51
52,51,55,53,36,37
39,36,37,25,26,25
26,10,13,10,11,17
12,9,11,10,9,11
9,12,10,46,47,46
47,48,27,32,27,28
30,26,30,28,29,26
30,26,38,39,38,28
31,29,28,32,30,28
34,28,29,9,16,12
11,12,14,21,11,60
59,58,37,57,51,38
40,38,39,40,42,38
41,12,13,14,15,14
13,12,13,14,13,14
375
