53,49,51,52
3,2,3,4
2,3,4,3
4,3,20,18
20,16,39,38
39,44,38,39
65,58,59,58
59,58,60,59
58,59,62,58
59,58,49,38
41,40,41,40
46,40,80,81
66,69,66,67
66,77,59,74
72,20,18,21
20,18,21,20
21,13,14,13
17,15,14,17
14,13,14,17
14,13,11,15
17,11,31,32
30,29,60,61
60,61,62,60
61,63,61,60
61,51,52,51
55,53,52,56
52,54,53,56
54,52,81,72
73,74,75,73
60,73,30,34
32,33,31,34
31,33,31,34
37,31,33,32
37,32,31,32
9,10,11,14
9,81,78,80
18,22,21,23
21,81,22,24
22,23,24,22
24,22,23,22
25,22,64,63
62,63,61,62
64,61,80,42
43,42,45,44
42,43,41,43
42,41,42,45
43,42,47,41
43,45,46,42
41,68,62,63
64,63,65,62
43,44,43,45
44,46,44,47
45,47,44,46
44,67,70,10
13,11,10,13
11,12,11,12
10,13,10,11
12,10,12,47
48,46,45,47
45,67,69,74
67,68,69,68
67,68,69,23
25,23,25,28
23,78,79,2
5,4,2,77
78,76,79,77
67,74,77,24
26,25,24,27
24,26,24,79
8,46,48,50
46,14,15,17
19,21,16,5
6,5,6,7
6,5,4,5
4,5,4,34
33,31,75,74
75,33,81,53
60,53,54,53
55,57,53,70
63,65,63,65
66,62,81,25
27,25,26,32
29,26,25,26
28,29,26,27
28,0,2,1
2,3,0,1
0,1,0,1
0,1,2,1
0,3,1,0
5,1,0,19
15,16,17,15
16,19,15,19
16,17,64,66
65,64,67,65
64,66,65,66
34,37,34,35
34,35,36,35
36,37,35,36
40,36,37,36
35,39,35,37
36,15,23,18
19,18,16,18
19,20,21,16
20,19,48,50
48,6,12,7
6,9,6,7
6,10,12,9
8,7,9,8
9,12,8,7
8,7,8,9
8,7,27,30
27,29,27,28
29,26,78,47
52,47,51,49
50,48,51,49
48,50,48,54
57,55,54,55
57,54,55,54
68,73,68,70
72,71,68,75
74,76,35,75
78,76,50,51
50,49,51,49
52,49,50,70
69,70,69,70
69,76,77,75
70,78,80,37
71,73,76,71
72,73,72,71
76,55,56,55
57,56,58,56
57,36,40,38
40,38,39,38
39,38,40,39
41,27,72,71
73,72,56,59
57,56,57,71
74,71,81,80
76,75,64,79
80,79,77,78
77,79,80,79
28,30,28,33
28,30,29,30
32,30,29,33
569
